5NUBP30iUh_zyr22gy0MWj7Gq0Bp8JDju_3ro_j7bvylop6PAwBOG9Fy5HgKyPvd5vRI2GGYk1yokg,17,1409717
5NUBP30iUh_zyr22gy0MWj7Gq0Bp8JDju_3ro_j7bvylop6PAwBOG9Fy5HgKyPvd5vRI2GGYk1yokg,21,259239
5NUBP30iUh_zyr22gy0MWj7Gq0Bp8JDju_3ro_j7bvylop6PAwBOG9Fy5HgKyPvd5vRI2GGYk1yokg,25,234692
5NUBP30iUh_zyr22gy0MWj7Gq0Bp8JDju_3ro_j7bvylop6PAwBOG9Fy5HgKyPvd5vRI2GGYk1yokg,26,165001
5NUBP30iUh_zyr22gy0MWj7Gq0Bp8JDju_3ro_j7bvylop6PAwBOG9Fy5HgKyPvd5vRI2GGYk1yokg,80,114756
XBeYNQ1Q59RtBU25_vd1HLWkrThJj42AzXOPdP1NcV2o4PeD6BOp55CF1LxKOfH63DsFrztsoJNugQ,875,100373
XBeYNQ1Q59RtBU25_vd1HLWkrThJj42AzXOPdP1NcV2o4PeD6BOp55CF1LxKOfH63DsFrztsoJNugQ,21,98514
XBeYNQ1Q59RtBU25_vd1HLWkrThJj42AzXOPdP1NcV2o4PeD6BOp55CF1LxKOfH63DsFrztsoJNugQ,86,69344
XBeYNQ1Q59RtBU25_vd1HLWkrThJj42AzXOPdP1NcV2o4PeD6BOp55CF1LxKOfH63DsFrztsoJNugQ,5,59086
XBeYNQ1Q59RtBU25_vd1HLWkrThJj42AzXOPdP1NcV2o4PeD6BOp55CF1LxKOfH63DsFrztsoJNugQ,19,49269
8Orr_cUGnXYEbWi4TIMru29Cr14lGUaStU4OJsHpcBGR19yiw2xeWuQOd1_-J2nXwUjzrYHrPYfECQ,21,468713
8Orr_cUGnXYEbWi4TIMru29Cr14lGUaStU4OJsHpcBGR19yiw2xeWuQOd1_-J2nXwUjzrYHrPYfECQ,86,223073
8Orr_cUGnXYEbWi4TIMru29Cr14lGUaStU4OJsHpcBGR19yiw2xeWuQOd1_-J2nXwUjzrYHrPYfECQ,51,174563
